run,model,best_epoch,best_validation_loss,final_train_loss,final_validation_loss,final_test_loss,total_trainable_parameters,learning_rate,weight_decay,epochs,batch_size,seed,num_layers,hidden_features,channels,num_blocks,layers_per_block,head_dim,expansion,conditional
parameter_sweep / EXP_015 / run_001 / raw / transformer / params__lr1e-3_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks4_lpb1,transformer,540,0.1416914016008377,0.12691181898117065,0.1416914016008377,0.14332658052444458,330256,0.001,0.0001,600,500,7,,,64,4,1,64,4,True
parameter_sweep / EXP_016 / run_001 / raw / transformer / params__lr1e-3_ep600_bs500_wd1e-3_cond1_seed7_ch64_blocks4_lpb1,transformer,580,0.1746838241815567,0.16387654840946198,0.1746838241815567,0.17571872472763062,330256,0.001,0.001,600,500,7,,,64,4,1,64,4,True
parameter_sweep / EXP_017 / run_001 / raw / real_nvp / params__lr1e-3_ep600_bs500_wd0e0_cond1_seed7_layers3_h64,real_nvp,580,0.2719683051109314,0.27023178339004517,0.2719683051109314,0.2681090235710144,14220,0.001,0.0,600,500,7,3,64,,,,,,True
parameter_sweep / EXP_019 / run_001 / raw / real_nvp / params__lr1e-3_ep600_bs500_wd0e0_cond1_seed7_layers7_h64,real_nvp,580,0.22705672681331635,0.22391751408576965,0.22705672681331635,0.22384968400001526,33180,0.001,0.0,600,500,7,7,64,,,,,,True
parameter_sweep / EXP_020 / run_001 / raw / real_nvp / params__lr1e-3_ep600_bs500_wd0e0_cond1_seed7_layers9_h64,real_nvp,600,0.22332827746868134,0.22057652473449707,0.22332827746868134,0.22029604017734528,42660,0.001,0.0,600,500,7,9,64,,,,,,True
parameter_sweep / EXP_021 / run_001 / raw / real_nvp / params__lr1e-3_ep600_bs500_wd0e0_cond1_seed7_layers9_h32,real_nvp,580,0.22336970269680023,0.22038264572620392,0.22336970269680023,0.22045083343982697,12132,0.001,0.0,600,500,7,9,32,,,,,,True
parameter_sweep / EXP_022 / run_001 / raw / real_nvp / params__lr1e-3_ep600_bs500_wd0e0_cond1_seed7_layers9_h64,real_nvp,600,0.22332827746868134,0.22057652473449707,0.22332827746868134,0.22029604017734528,42660,0.001,0.0,600,500,7,9,64,,,,,,True
parameter_sweep / EXP_023 / run_001 / raw / real_nvp / params__lr1e-3_ep600_bs500_wd0e0_cond1_seed7_layers9_h128,real_nvp,580,0.22387266159057617,0.22053030133247375,0.22387266159057617,0.22053402662277222,159012,0.001,0.0,600,500,7,9,128,,,,,,True
parameter_sweep / EXP_024 / run_001 / raw / real_nvp / params__lr1e-3_ep600_bs500_wd0e0_cond1_seed7_layers9_h256,real_nvp,400,0.22277702391147614,0.21980226039886475,0.22277702391147614,0.2197246104478836,612900,0.001,0.0,600,500,7,9,256,,,,,,True
parameter_sweep / EXP_025 / run_002 / raw / transformer / params__lr1e-3_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks2_lpb1,transformer,540,0.4262217581272125,0.4019065201282501,0.4262217581272125,0.42858681082725525,165128,0.001,0.0001,600,500,7,,,64,2,1,64,4,True
parameter_sweep / EXP_026 / run_002 / raw / transformer / params__lr1e-3_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks6_lpb1,transformer,580,0.09866326302289963,0.07903632521629333,0.09866326302289963,0.09801279753446579,495384,0.001,0.0001,600,500,7,,,64,6,1,64,4,True
parameter_sweep / EXP_029 / run_001 / raw / transformer / params__lr1e-3_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks6_lpb1,transformer,560,0.21059082448482513,0.15170007944107056,0.21059082448482513,0.19795554876327515,495384,0.001,0.0001,600,500,7,,,64,6,1,16,4,True
parameter_sweep / EXP_030 / run_001 / raw / transformer / params__lr1e-3_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks6_lpb1,transformer,400,0.09195630997419357,0.07580132782459259,0.09195630997419357,0.0929032638669014,495384,0.001,0.0001,600,500,7,,,64,6,1,32,4,True
parameter_sweep / EXP_032 / run_001 / raw / transformer / params__lr1e-3_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks6_lpb1,transformer,580,0.07386522740125656,0.054660048335790634,0.07386522740125656,0.07469744980335236,396312,0.001,0.0001,600,500,7,,,64,6,1,64,2,True
parameter_sweep / EXP_033 / run_002 / raw / transformer / params__lr1e-3_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks6_lpb1,transformer,560,0.09045951068401337,0.07471540570259094,0.09045951068401337,0.09881778061389923,594456,0.001,0.0001,600,500,7,,,64,6,1,64,6,True
parameter_sweep / EXP_034 / run_001 / raw / transformer / params__lr1e-3_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks6_lpb1,transformer,580,0.08496131002902985,0.06094875559210777,0.08496131002902985,0.08440013229846954,495384,0.001,0.0001,600,500,7,,,64,6,1,64,4,True
parameter_sweep / EXP_036 / run_001 / raw / transformer / params__lr5e-4_ep600_bs500_wd0e0_cond1_seed7_ch64_blocks2_lpb1,transformer,600,0.4221174716949463,0.3816252052783966,0.4221174716949463,0.4220508337020874,132104,0.0005,0.0,600,500,7,,,64,2,1,16,2,True
parameter_sweep / EXP_037 / run_001 / raw / transformer / params__lr5e-4_ep600_bs500_wd0e0_cond1_seed7_ch64_blocks6_lpb1,transformer,540,-0.012267420999705791,-0.04427211731672287,-0.012267420999705791,-0.009372688829898834,495384,0.0005,0.0,600,500,7,,,64,6,1,16,4,True
parameter_sweep / EXP_038 / run_001 / raw / transformer / params__lr5e-4_ep600_bs500_wd1e-3_cond1_seed7_ch64_blocks2_lpb1,transformer,600,0.4284287095069885,0.4127248227596283,0.4284287095069885,0.4277622699737549,132104,0.0005,0.001,600,500,7,,,64,2,1,16,2,True
parameter_sweep / EXP_040 / run_001 / raw / transformer / params__lr1e-4_ep600_bs500_wd0e0_cond1_seed7_ch64_blocks2_lpb1,transformer,600,0.4401954114437103,0.42082035541534424,0.4401954114437103,0.44296231865882874,132104,0.0001,0.0,600,500,7,,,64,2,1,16,2,True
parameter_sweep / EXP_041 / run_001 / raw / transformer / params__lr1e-4_ep600_bs500_wd0e0_cond1_seed7_ch64_blocks6_lpb1,transformer,600,0.15516650676727295,0.1371811032295227,0.15516650676727295,0.16120992600917816,495384,0.0001,0.0,600,500,7,,,64,6,1,16,4,True
parameter_sweep / EXP_042 / run_001 / raw / transformer / params__lr1e-4_ep600_bs500_wd1e-3_cond1_seed7_ch64_blocks2_lpb1,transformer,600,0.5188992023468018,0.5179921388626099,0.5188992023468018,0.5273273587226868,132104,0.0001,0.001,600,500,7,,,64,2,1,16,2,True
parameter_sweep / EXP_043 / run_001 / raw / transformer / params__lr1e-4_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks6_lpb1,transformer,600,0.18072719871997833,0.16698722541332245,0.18072719871997833,0.18435138463974,495384,0.0001,0.0001,600,500,7,,,64,6,1,16,4,True
raw / real_nvp / params__lr1e-3_ep300_bs32_wd1e-4_cond1_seed7_layers8_h128,real_nvp,300,0.22413714230060577,0.22139780223369598,0.22413714230060577,0.22118480503559113,141344,0.001,0.0001,300,32,7,8,128,,,,,,True
